navDisplayContent,navTargetLink
Eyeshadow Palettes,https://www.ulta.com/shop/makeup/eyes/eyeshadow-palettes?N=26ye
Mascara,https://www.ulta.com/shop/makeup/eyes/mascara?N=26yg
Eyeliner,https://www.ulta.com/shop/makeup/eyes/eyeliner?N=26yh
Eyebrows,https://www.ulta.com/shop/makeup/eyes/eyebrows?N=26yi
Eyeshadow,https://www.ulta.com/shop/makeup/eyes/eyeshadow?N=26yf
Eye Primer & Base,https://www.ulta.com/shop/makeup/eyes/eye-primer-base?N=26yl
Eyelashes,https://www.ulta.com/shop/makeup/eyes/eyelashes?N=26yj
Lash Primer & Serums,https://www.ulta.com/shop/makeup/eyes/lash-primer-serums?N=jllzia
Eye Makeup Remover,https://www.ulta.com/shop/makeup/eyes/eye-makeup-remover?N=26yk
Foundation,https://www.ulta.com/shop/makeup/face/foundation?N=26y5
Face Powder,https://www.ulta.com/shop/makeup/face/face-powder?N=26y8
Concealer,https://www.ulta.com/shop/makeup/face/concealer?N=26y6
Color Correcting,https://www.ulta.com/shop/makeup/face/color-correcting?N=uo37yr
Face Primer,https://www.ulta.com/shop/makeup/face/face-primer?N=26y4
BB & CC Creams,https://www.ulta.com/shop/makeup/face/bb-cc-creams?N=277u
Blush,https://www.ulta.com/shop/makeup/face/blush?N=277v
Bronzer,https://www.ulta.com/shop/makeup/face/bronzer?N=26y9
Contouring,https://www.ulta.com/shop/makeup/face/contouring?N=27eh
Highlighter,https://www.ulta.com/shop/makeup/face/highlighter?N=27i0
Setting Spray & Powder,https://www.ulta.com/shop/makeup/face/setting-spray-powder?N=10wj5jk
Makeup Remover,https://www.ulta.com/shop/skin-care/cleansers/makeup-remover?N=27gx
Lipstick,https://www.ulta.com/shop/makeup/lips/lipstick?N=26ys
Lip Gloss,https://www.ulta.com/shop/makeup/lips/lip-gloss?N=26yt
Lip Liner,https://www.ulta.com/shop/makeup/lips/lip-liner?N=26yv
Lip Stain,https://www.ulta.com/shop/makeup/lips/lip-stain?N=26yu
Lip Plumpers,https://www.ulta.com/shop/makeup/lips/lip-plumpers?N=cm0rb4
Lip Tints & Balms,https://www.ulta.com/shop/makeup/lips/lip-tints-balms?N=26yw
Lip Primer,https://www.ulta.com/shop/makeup/lips/lip-primer?N=9bh3cr
