navDisplayContent,navTargetLink
Foundation,https://www.ulta.com/shop/makeup/face/foundation?N=26y5
Face Powder,https://www.ulta.com/shop/makeup/face/face-powder?N=26y8
Concealer,https://www.ulta.com/shop/makeup/face/concealer?N=26y6
Color Correcting,https://www.ulta.com/shop/makeup/face/color-correcting?N=uo37yr
Face Primer,https://www.ulta.com/shop/makeup/face/face-primer?N=26y4
BB & CC Creams,https://www.ulta.com/shop/makeup/face/bb-cc-creams?N=277u
Blush,https://www.ulta.com/shop/makeup/face/blush?N=277v
Bronzer,https://www.ulta.com/shop/makeup/face/bronzer?N=26y9
Contouring,https://www.ulta.com/shop/makeup/face/contouring?N=27eh
Highlighter,https://www.ulta.com/shop/makeup/face/highlighter?N=27i0
Setting Spray & Powder,https://www.ulta.com/shop/makeup/face/setting-spray-powder?N=10wj5jk
Makeup Remover,https://www.ulta.com/shop/skin-care/cleansers/makeup-remover?N=27gx
